what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1461116307806
activated,editor,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.core.dtdsource.source",1461116307947
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461116311146
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461116311801
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461116317401
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461116351393
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1461116353375
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1461116353889
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1461116355761
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1461116356557
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1461116357072
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1461116373215
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1461116377989
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461116381265
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461116381951
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461116382747
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461116384120
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461116384338
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461116385555
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461116386366
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461116398175
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1461116398753
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1461116399221
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1461116400938
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1461116401889
