what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1461118089937
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1461118097378
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1461118097550
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1461118102611
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1461118102970
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1461118107696
opened,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1461118111207
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1461118111270
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461118115685
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461118385709
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1461118386458
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461118389037
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461119752735
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461119753355
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461120070928
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461120072088
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461132510867
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1461132526061
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461132527949
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461132577290
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461132579318
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461132710607
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461132711715
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461132777033
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1461132777922
